Mercedes;17;190;12000
Mercedes;14;185;6000
Hundai;20;170;522100
Hundai;11;175;4023400
Renault;17;180;556000
Opel;21;160;40500
Opel;25;150;50400
Fiat;9;175;41000
Fiat;18;175;52000
Mitsubishi;6;210;42000
Mitsubishi;5;215;51000
Mitsubishi;7;195;44000
Daewoo;4;150;52000
Daewoo;10;155;43000
ZAZ;5;130;51000
ZAZ;5;135;44000
Toyota;11;220;52000
Toyota;5;225;34000
Citroen;7;185;52000
Citroen;5;180;14000
Chery;6;195;55000
Chery;8;190;141000
Mitsubishi;7;195;425000
Renault;20;160;4000
Renault;25;165;50200
Fiat;8;170;40100
VW;9;200;50200
Citroen;7;185;34000
Citroen;4;180;335000
Mercedes;9;260;24000
VW;8;175;125000
